structure,workload,size,comparisons,structural_ops,inserts,deletes,lookups,resize_events,shifts_relinks
BST,A,1000,59425,958,1000,0,1000,0,958
HashTable,A,1000,1771,2144,1000,0,1000,8,2144
LinkedList,A,1000,955472,958,1000,0,2000,0,958
SortedArraySet,A,1000,21496,958,1000,0,1000,7,225803
BST,A,5000,386653,4754,5000,0,5000,0,4754
HashTable,A,5000,9320,9541,5000,0,5000,10,9541
LinkedList,A,5000,23783856,4754,5000,0,10000,0,4754
SortedArraySet,A,5000,130751,4754,5000,0,5000,9,5658866
BST,A,10000,848392,9533,10000,0,10000,0,9533
HashTable,A,10000,18597,19136,10000,0,10000,11,19136
LinkedList,A,10000,95357059,9533,10000,0,20000,0,9533
SortedArraySet,A,10000,281503,9533,10000,0,10000,10,22788125
BST,A,20000,1849880,19084,20000,0,20000,0,19084
HashTable,A,20000,37111,38327,20000,0,20000,12,38327
LinkedList,A,20000,381615459,19084,20000,0,40000,0,19084
SortedArraySet,A,20000,602981,19084,20000,0,20000,11,91406266
BST,B,1000,2888316,958,1000,0,1000,0,958
HashTable,B,1000,1758,2144,1000,0,1000,8,2144
LinkedList,B,1000,935573,958,1000,0,2000,0,958
SortedArraySet,B,1000,20906,958,1000,0,1000,7,1277
BST,B,5000,71419392,4754,5000,0,5000,0,4754
HashTable,B,5000,9463,9541,5000,0,5000,10,9541
LinkedList,B,5000,23167477,4754,5000,0,10000,0,4754
SortedArraySet,B,5000,127922,4754,5000,0,5000,9,5119
BST,B,10000,285810808,9533,10000,0,10000,0,9533
HashTable,B,10000,18798,19136,10000,0,10000,11,19136
LinkedList,B,10000,93134766,9533,10000,0,20000,0,9533
SortedArraySet,B,10000,275823,9533,10000,0,10000,10,10240
BST,B,20000,1144278728,19084,20000,0,20000,0,19084
HashTable,B,20000,37402,38327,20000,0,20000,12,38327
LinkedList,B,20000,373068086,19084,20000,0,40000,0,19084
SortedArraySet,B,20000,591735,19084,20000,0,20000,11,20481
BST,C,1000,26849,988,500,488,1012,0,988
HashTable,C,1000,947,1055,500,488,1012,4,1055
LinkedList,C,1000,19562,986,500,488,1512,0,986
SortedArraySet,C,1000,10415,986,500,488,1012,2,5863
BST,C,5000,152449,4934,2500,2436,5064,0,4934
HashTable,C,5000,6045,5076,2500,2436,5064,5,5076
LinkedList,C,5000,241233,4934,2500,2436,7564,0,4934
SortedArraySet,C,5000,64058,4934,2500,2436,5064,3,81776
BST,C,10000,345581,9918,5000,4920,10080,0,9918
HashTable,C,10000,11127,10057,5000,4920,10080,5,10057
LinkedList,C,10000,751309,9915,5000,4920,15080,0,9915
SortedArraySet,C,10000,142397,9915,5000,4920,10080,4,270066
BST,C,20000,754941,19917,10000,9921,20079,0,19917
HashTable,C,20000,19847,20058,10000,9921,20079,5,20058
LinkedList,C,20000,1344803,19916,10000,9921,30079,0,19916
SortedArraySet,C,20000,279684,19916,10000,9921,20079,4,430204
BST,D,1000,207981,958,1000,0,5000,0,958
HashTable,D,1000,4135,2144,1000,0,5000,8,2144
LinkedList,D,1000,4605800,958,1000,0,6000,0,958
SortedArraySet,D,1000,69208,958,1000,0,5000,7,225803
BST,D,5000,1335708,4754,5000,0,25000,0,4754
HashTable,D,5000,23372,9541,5000,0,25000,10,9541
LinkedList,D,5000,114538571,4754,5000,0,30000,0,4754
SortedArraySet,D,5000,416480,4754,5000,0,25000,9,5658866
BST,D,10000,2903583,9533,10000,0,50000,0,9533
HashTable,D,10000,47378,19136,10000,0,50000,11,19136
LinkedList,D,10000,458208545,9533,10000,0,60000,0,9533
SortedArraySet,D,10000,892860,9533,10000,0,50000,10,22788125
BST,D,20000,6289739,19084,20000,0,100000,0,19084
HashTable,D,20000,94345,38327,20000,0,100000,12,38327
LinkedList,D,20000,1834724093,19084,20000,0,120000,0,19084
SortedArraySet,D,20000,1905444,19084,20000,0,100000,11,91406266
